"New assay (8)"
"mFM P5 031121"
"03/11/2021 10:53:38"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.810
"A2","A2",0.775
"A3","A3",0.835
"A4","A4",1.176
"A5","A5",1.075
"A6","A6",0.955
"A7","A7",0.822
"A8","A8",0.860
"A9","A9",0.670
"A10","A10",0.949
"A11","A11",0.874
"A12","A12",0.975
"B1","B1",1.040
"B2","B2",0.594
"B3","B3",0.684
"B4","B4",0.505
"B5","B5",0.789
"B6","B6",1.042
"B7","B7",0.865
"B8","B8",0.717
"B9","B9",0.812
"B10","B10",0.697
"B11","B11",0.901
"B12","B12",0.954
"C1","C1",1.195
"C2","C2",0.782
"C3","C3",0.769
"C4","C4",0.659
"C5","C5",0.708
"C6","C6",0.654
"C7","C7",0.900
"C8","C8",0.778
"C9","C9",0.790
"C10","C10",0.794
"C11","C11",0.806
"C12","C12",0.644
"D1","D1",0.794
"D2","D2",0.638
"D3","D3",1.055
"D4","D4",0.737
"D5","D5",0.659
"D6","D6",0.767
"D7","D7",0.852
"D8","D8",0.680
"D9","D9",0.842
"D10","D10",0.710
"D11","D11",0.633
"D12","D12",0.954
"E1","E1",0.749
"E2","E2",0.948
"E3","E3",0.891
"E4","E4",0.711
"E5","E5",0.690
"E6","E6",0.777
"E7","E7",0.879
"E8","E8",0.825
"E9","E9",0.866
"E10","E10",0.926
"E11","E11",0.708
"E12","E12",0.921
"F1","F1",0.953
"F2","F2",1.086
"F3","F3",0.846
"F4","F4",0.991
"F5","F5",0.789
"F6","F6",0.688
"F7","F7",0.819
"F8","F8",0.901
"F9","F9",0.766
"F10","F10",0.921
"F11","F11",0.719
"F12","F12",0.845
"G1","G1",0.870
"G2","G2",0.721
"G3","G3",0.885
"G4","G4",0.771
"G5","G5",0.805
"G6","G6",0.750
"G7","G7",0.890
"G8","G8",0.660
"G9","G9",0.895
"G10","G10",0.738
"G11","G11",0.839
"G12","G12",0.798
"H1","H1",0.040
"H2","H2",0.039
"H3","H3",0.041
"H4","H4",0.040
"H5","H5",0.038
"H6","H6",0.037
"H7","H7",0.037
"H8","H8",0.038
"H9","H9",0.039
"H10","H10",0.038
"H11","H11",0.037
"H12","H12",0.038
