"New assay (8)"
"FM P1 set2 031821"
"03/18/2021 10:43:22"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.044
"A2","A2",0.102
"A3","A3",0.534
"A4","A4",0.043
"A5","A5",0.481
"A6","A6",0.478
"A7","A7",0.040
"A8","A8",0.099
"A9","A9",0.667
"A10","A10",0.042
"A11","A11",0.552
"A12","A12",0.584
"B1","B1",0.097
"B2","B2",0.096
"B3","B3",0.047
"B4","B4",0.542
"B5","B5",0.625
"B6","B6",0.134
"B7","B7",0.093
"B8","B8",0.098
"B9","B9",0.050
"B10","B10",0.770
"B11","B11",0.675
"B12","B12",0.125
"C1","C1",0.046
"C2","C2",0.295
"C3","C3",0.575
"C4","C4",0.478
"C5","C5",0.564
"C6","C6",0.580
"C7","C7",0.047
"C8","C8",0.308
"C9","C9",0.668
"C10","C10",0.620
"C11","C11",0.754
"C12","C12",0.759
"D1","D1",0.573
"D2","D2",0.516
"D3","D3",0.056
"D4","D4",0.302
"D5","D5",0.155
"D6","D6",0.056
"D7","D7",0.618
"D8","D8",0.706
"D9","D9",0.056
"D10","D10",0.267
"D11","D11",0.157
"D12","D12",0.043
"E1","E1",0.093
"E2","E2",0.332
"E3","E3",0.239
"E4","E4",0.606
"E5","E5",0.131
"E6","E6",0.649
"E7","E7",0.085
"E8","E8",0.331
"E9","E9",0.246
"E10","E10",0.700
"E11","E11",0.126
"E12","E12",0.736
"F1","F1",0.399
"F2","F2",0.339
"F3","F3",0.981
"F4","F4",1.066
"F5","F5",1.021
"F6","F6",0.286
"F7","F7",0.365
"F8","F8",0.349
"F9","F9",0.892
"F10","F10",1.188
"F11","F11",1.251
"F12","F12",0.254
"G1","G1",0.099
"G2","G2",0.584
"G3","G3",0.043
"G4","G4",0.980
"G5","G5",0.880
"G6","G6",0.409
"G7","G7",0.088
"G8","G8",0.789
"G9","G9",0.044
"G10","G10",1.074
"G11","G11",1.043
"G12","G12",0.413
"H1","H1",0.042
"H2","H2",0.039
"H3","H3",0.043
"H4","H4",0.040
"H5","H5",0.042
"H6","H6",0.040
"H7","H7",0.037
"H8","H8",0.041
"H9","H9",0.043
"H10","H10",0.041
"H11","H11",0.042
"H12","H12",0.038
