"New assay (8)"
"mFM P7 031121"
"03/11/2021 10:57:00"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.040
"A2","A2",0.307
"A3","A3",0.477
"A4","A4",0.359
"A5","A5",0.052
"A6","A6",0.510
"A7","A7",0.038
"A8","A8",0.286
"A9","A9",0.691
"A10","A10",0.471
"A11","A11",0.051
"A12","A12",0.709
"B1","B1",0.090
"B2","B2",0.090
"B3","B3",0.496
"B4","B4",0.490
"B5","B5",0.486
"B6","B6",0.497
"B7","B7",0.086
"B8","B8",0.101
"B9","B9",0.599
"B10","B10",0.626
"B11","B11",0.785
"B12","B12",0.729
"C1","C1",0.986
"C2","C2",0.962
"C3","C3",0.960
"C4","C4",0.993
"C5","C5",0.960
"C6","C6",0.067
"C7","C7",0.966
"C8","C8",0.969
"C9","C9",0.972
"C10","C10",1.096
"C11","C11",1.067
"C12","C12",0.050
"D1","D1",0.518
"D2","D2",0.349
"D3","D3",0.921
"D4","D4",0.320
"D5","D5",0.382
"D6","D6",0.481
"D7","D7",0.849
"D8","D8",0.543
"D9","D9",0.983
"D10","D10",0.311
"D11","D11",0.372
"D12","D12",0.844
"E1","E1",0.105
"E2","E2",1.014
"E3","E3",0.493
"E4","E4",0.999
"E5","E5",1.000
"E6","E6",0.448
"E7","E7",0.106
"E8","E8",0.958
"E9","E9",0.843
"E10","E10",1.133
"E11","E11",1.099
"E12","E12",0.830
"F1","F1",0.350
"F2","F2",0.304
"F3","F3",1.022
"F4","F4",1.034
"F5","F5",0.985
"F6","F6",1.014
"F7","F7",0.350
"F8","F8",0.295
"F9","F9",1.046
"F10","F10",1.044
"F11","F11",1.131
"F12","F12",1.143
"G1","G1",1.016
"G2","G2",1.012
"G3","G3",0.495
"G4","G4",1.291
"G5","G5",1.035
"G6","G6",0.401
"G7","G7",1.145
"G8","G8",0.998
"G9","G9",0.837
"G10","G10",1.350
"G11","G11",1.041
"G12","G12",0.440
"H1","H1",0.038
"H2","H2",0.040
"H3","H3",0.042
"H4","H4",0.040
"H5","H5",0.038
"H6","H6",0.039
"H7","H7",0.035
"H8","H8",0.038
"H9","H9",0.040
"H10","H10",0.039
"H11","H11",0.038
"H12","H12",0.039
