"New assay (8)"
"FM P2 set2 031821"
"03/18/2021 10:44:54"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.070
"A2","A2",0.348
"A3","A3",0.054
"A4","A4",0.065
"A5","A5",0.159
"A6","A6",0.430
"A7","A7",0.068
"A8","A8",0.307
"A9","A9",0.056
"A10","A10",0.072
"A11","A11",0.154
"A12","A12",0.468
"B1","B1",0.092
"B2","B2",0.122
"B3","B3",0.051
"B4","B4",0.282
"B5","B5",0.669
"B6","B6",0.153
"B7","B7",0.084
"B8","B8",0.105
"B9","B9",0.052
"B10","B10",0.276
"B11","B11",0.770
"B12","B12",0.152
"C1","C1",0.099
"C2","C2",0.106
"C3","C3",0.456
"C4","C4",0.458
"C5","C5",0.045
"C6","C6",0.042
"C7","C7",0.087
"C8","C8",0.101
"C9","C9",0.490
"C10","C10",0.493
"C11","C11",0.043
"C12","C12",0.038
"D1","D1",0.048
"D2","D2",0.480
"D3","D3",0.317
"D4","D4",0.332
"D5","D5",0.094
"D6","D6",0.550
"D7","D7",0.046
"D8","D8",0.531
"D9","D9",0.288
"D10","D10",0.298
"D11","D11",0.093
"D12","D12",0.575
"E1","E1",0.097
"E2","E2",0.510
"E3","E3",0.473
"E4","E4",0.039
"E5","E5",0.110
"E6","E6",0.521
"E7","E7",0.093
"E8","E8",0.530
"E9","E9",0.455
"E10","E10",0.040
"E11","E11",0.101
"E12","E12",0.560
"F1","F1",0.188
"F2","F2",1.054
"F3","F3",1.144
"F4","F4",1.131
"F5","F5",1.008
"F6","F6",0.370
"F7","F7",0.178
"F8","F8",0.905
"F9","F9",0.883
"F10","F10",0.945
"F11","F11",0.943
"F12","F12",0.336
"G1","G1",0.124
"G2","G2",0.551
"G3","G3",0.300
"G4","G4",1.175
"G5","G5",0.874
"G6","G6",0.332
"G7","G7",0.129
"G8","G8",0.632
"G9","G9",0.291
"G10","G10",0.953
"G11","G11",0.696
"G12","G12",0.322
"H1","H1",0.040
"H2","H2",0.039
"H3","H3",0.042
"H4","H4",0.039
"H5","H5",0.040
"H6","H6",0.038
"H7","H7",0.039
"H8","H8",0.040
"H9","H9",0.041
"H10","H10",0.040
"H11","H11",0.039
"H12","H12",0.041
