"New assay (8)"
"FM set E1 032621"
"03/26/2021 09:36:28"
""
"Completed"
"10 fold dilution"

"Results by well"
"Well","Sample","OD(600)"
"A1","A1",0.100
"A2","A2",0.088
"A3","A3",0.067
"A4","A4",0.041
"A5","A5",0.121
"A6","A6",0.075
"A7","A7",0.095
"A8","A8",0.075
"A9","A9",0.060
"A10","A10",0.266
"A11","A11",0.067
"A12","A12",0.041
"B1","B1",0.257
"B2","B2",0.388
"B3","B3",0.355
"B4","B4",0.111
"B5","B5",0.289
"B6","B6",0.142
"B7","B7",0.040
"B8","B8",0.191
"B9","B9",0.472
"B10","B10",0.362
"B11","B11",0.203
"B12","B12",0.039
"C1","C1",0.344
"C2","C2",0.515
"C3","C3",0.336
"C4","C4",0.040
"C5","C5",0.069
"C6","C6",0.093
"C7","C7",0.046
"C8","C8",0.484
"C9","C9",0.469
"C10","C10",0.041
"C11","C11",0.039
"C12","C12",0.040
"D1","D1",0.120
"D2","D2",0.388
"D3","D3",0.045
"D4","D4",0.291
"D5","D5",0.436
"D6","D6",0.040
"D7","D7",0.042
"D8","D8",0.040
"D9","D9",0.040
"D10","D10",0.039
"D11","D11",0.041
"D12","D12",0.037
"E1","E1",0.104
"E2","E2",0.088
"E3","E3",0.066
"E4","E4",0.041
"E5","E5",0.124
"E6","E6",0.078
"E7","E7",0.108
"E8","E8",0.074
"E9","E9",0.063
"E10","E10",0.275
"E11","E11",0.068
"E12","E12",0.042
"F1","F1",0.246
"F2","F2",0.399
"F3","F3",0.353
"F4","F4",0.119
"F5","F5",0.286
"F6","F6",0.146
"F7","F7",0.040
"F8","F8",0.204
"F9","F9",0.458
"F10","F10",0.383
"F11","F11",0.212
"F12","F12",0.039
"G1","G1",0.303
"G2","G2",0.497
"G3","G3",0.339
"G4","G4",0.042
"G5","G5",0.069
"G6","G6",0.101
"G7","G7",0.044
"G8","G8",0.485
"G9","G9",0.494
"G10","G10",0.040
"G11","G11",0.039
"G12","G12",0.043
"H1","H1",0.122
"H2","H2",0.367
"H3","H3",0.046
"H4","H4",0.286
"H5","H5",0.420
"H6","H6",0.040
"H7","H7",0.038
"H8","H8",0.040
"H9","H9",0.041
"H10","H10",0.041
"H11","H11",0.038
"H12","H12",0.040
